iter	Passed	Remaining
185	267	1170
186	268	1165
187	268	1160
188	269	1155
189	269	1151
190	270	1146
191	271	1141
192	271	1137
193	272	1132
194	273	1129
195	274	1124
196	274	1120
197	275	1115
198	276	1111
199	276	1106
200	277	1102
201	277	1097
202	278	1093
203	279	1088
204	279	1085
205	280	1081
206	281	1076
207	281	1072
208	282	1068
209	282	1064
210	283	1060
211	284	1056
212	284	1052
213	285	1048
214	286	1044
215	286	1040
216	287	1037
217	288	1034
218	289	1030
219	289	1026
220	290	1023
221	290	1019
222	291	1015
223	292	1012
224	292	1008
225	293	1004
226	294	1001
227	294	997
228	295	994
229	295	990
230	296	987
231	297	983
232	297	980
233	298	977
234	299	973
235	299	970
236	300	967
237	301	963
238	301	960
239	302	957
240	303	954
241	303	951
242	304	948
243	305	945
244	305	941
245	306	938
246	306	935
247	307	932
248	308	929
249	308	926
250	309	923
251	310	920
252	310	917
253	311	914
254	311	911
255	312	908
256	313	905
257	313	902
258	314	900
259	315	897
260	315	894
261	316	891
262	317	889
263	318	886
264	318	884
265	319	881
266	319	878
267	320	875
268	321	872
269	321	869
270	322	867
271	323	864
272	323	862
273	324	859
274	325	856
275	325	854
276	326	851
277	326	848
278	327	846
279	328	843
280	328	841
281	329	838
282	330	836
283	330	833
284	331	831
285	332	829
286	332	826
287	333	824
288	334	822
289	334	819
290	335	817
291	335	814
292	336	812
293	337	809
294	337	807
295	338	805
296	339	803
297	339	800
298	340	798
299	341	795
300	341	793
301	342	791
302	343	789
303	343	786
304	344	784
305	345	782
306	345	780
307	346	778
308	347	776
309	347	773
310	348	771
311	348	769
312	349	767
313	350	765
314	351	763
315	351	761
316	352	759
317	353	757
318	353	755
319	354	752
320	354	750
321	355	748
322	356	746
323	356	744
324	357	742
325	357	740
326	358	738
327	359	736
328	359	734
329	360	732
330	361	730
331	361	728
332	362	726
333	363	724
334	364	722
335	364	720
336	365	718
337	365	716
338	366	714
339	367	712
340	367	710
341	368	708
342	368	706
343	369	704
344	370	702
345	370	700
346	371	698
347	371	696
348	372	694
349	373	693
350	373	691
351	374	689
352	375	687
353	375	685
354	376	683
355	377	681
356	377	680
357	378	678
358	379	676
359	379	675
360	380	673
361	381	671
362	381	669
363	382	668
364	382	666
365	383	664
366	384	662
367	384	660
368	385	659
369	386	657
370	386	655
371	387	653
372	387	652
373	388	650
374	389	648
375	389	646
376	390	644
377	390	643
378	391	641
379	392	639
380	392	638
381	393	636
382	394	634
383	394	633
384	395	631
385	395	629
386	396	628
387	397	626
388	397	624
389	398	623
390	399	621
391	399	619
392	400	618
393	400	616
394	401	614
395	402	613
396	402	611
397	403	609
398	403	608
399	404	606
400	405	605
401	405	603
402	406	601
403	406	600
404	407	598
405	408	597
406	408	595
407	409	594
408	410	592
409	410	590
410	411	589
411	411	587
412	412	586
413	413	584
414	413	583
415	414	581
416	414	580
417	415	578
418	416	577
419	416	575
420	417	574
421	418	572
422	418	571
423	419	569
424	419	568
425	420	566
426	420	564
427	421	563
428	422	562
429	422	560
430	423	559
431	424	557
432	424	556
433	425	554
434	426	553
435	426	551
436	427	550
437	427	549
438	428	547
439	429	546
440	429	544
441	430	543
442	430	541
443	431	540
444	432	539
445	432	537
446	433	536
447	434	535
448	434	533
449	435	532
450	436	530
451	436	529
452	437	528
453	438	526
454	438	525
455	439	524
456	439	522
457	440	521
458	441	520
459	442	518
460	442	517
461	443	516
462	443	514
463	444	513
464	445	512
465	445	510
466	446	509
467	447	508
468	447	506
469	448	505
470	449	504
471	450	503
472	450	502
473	451	500
474	452	499
475	452	498
476	453	497
477	454	495
478	454	494
479	455	493
480	456	492
481	456	490
482	457	489
483	458	488
484	458	487
485	459	485
486	459	484
487	460	483
488	461	481
489	461	480
490	462	479
491	462	478
492	463	476
